3636001205073827,3636001221217121,3636001221758725,3636001242452309,3636001242672236,3636001242808765,3636001283191864,1,7,7,1,0
3636001379417714,3636001389231376,3636001389653842,3636001396156011,3636001396298669,3636001396407218,3636001423029947,1,7,7,0,0
3636001445254555,3636001446959796,3636001447331272,3636001453621653,3636001453753702,3636001453852221,3636001479291883,1,7,7,0,0
3636001502430541,3636001504172572,3636001504549728,3636001510766200,3636001510898208,3636001510999317,3636001535537629,1,7,7,0,0
3636001556738438,3636001558394290,3636001558757566,3636001564915759,3636001565047457,3636001565147676,3636001589023195,1,7,7,0,0
3636001609802349,3636001611432481,3636001611789817,3636001617919450,3636001618048588,3636001618147307,3636001641837249,1,7,7,0,0
3636001662432454,3636001664082496,3636001664450452,3636001670578535,3636001670709464,3636001670807173,3636001700537889,1,7,7,0,0
3636001722198793,3636001723853715,3636001724239241,3636001730461563,3636001730590112,3636001730686550,3636001754436482,1,7,7,0,0
3636001775034317,3636001776684969,3636001777044126,3636001783150679,3636001783280518,3636001783380307,3636001807140128,1,7,7,0,0
3636001827785793,3636001829445955,3636001829810061,3636001835941494,3636001836080183,3636001836178431,3636001859956832,1,7,7,0,0
3636002248200064,3636002250538188,3636002250920844,3636002257441143,3636002257570402,3636002257667560,3636002282394351,1,7,7,1,0
3636002303668769,3636002305335081,3636002305705257,3636002311844780,3636002311974319,3636002312091998,3636002335947908,1,7,7,0,0
3636002356797071,3636002358452353,3636002358816149,3636002365052131,3636002365180289,3636002365277608,3636002389161498,1,7,7,0,0
3636002410949721,3636002412684872,3636002413054688,3636002419162651,3636002419291010,3636002419387269,3636002443611035,1,7,7,0,0
3636002464113842,3636002465761004,3636002466120090,3636002471894197,3636002472032576,3636002472136144,3636002495910846,1,7,7,0,0
3636002517988275,3636002519685617,3636002520051683,3636002526013728,3636002526138796,3636002526235665,3636002549893798,1,7,7,0,0
3636002572458632,3636002574078474,3636002574430800,3636002580423855,3636002580549664,3636002580647643,3636002604297255,1,7,7,0,0
