3610006657059729,3610006657649664,3610006657747404,3610006657986556,3610006658091497,3610006658104007,3610006658378969,3610006658381599,3610006658388049,1,15,120,1,model.layers.3.self_attn.compressor.state_cache
3610007347599107,3610007348501114,3610007348614375,3610007349050828,3610007349276089,3610007349298389,3610007349915634,3610007351164853,3610007351178323,1,14,112,4,model.layers.2.self_attn.indexer.k_cache
3610007352204700,3610007352441842,3610007352443482,3610007352444712,3610007352579193,3610007352599123,3610007352709783,3610007352782064,3610007352792814,0,14,112,4,model.layers.2.self_attn.attn
3610007353829571,3610007354065613,3610007354067043,3610007354068253,3610007354196074,3610007354214304,3610007354659927,3610007354662927,3610007354668537,0,14,112,128,model.layers.3.self_attn.attn
3610007355357962,3610007355511963,3610007355512903,3610007355513633,3610007355594984,3610007355605624,3610007355900566,3610007355903296,3610007355909246,0,14,112,1,model.layers.0.self_attn.swa_cache
3610007356712512,3610007356867533,3610007356868393,3610007356869293,3610007356952543,3610007356963063,3610007357038854,3610007357040674,3610007357046564,0,14,112,1,model.layers.1.self_attn.swa_cache
3610007357794429,3610007357952620,3610007357953710,3610007357954500,3610007358038481,3610007358049311,3610007358123452,3610007358125262,3610007358131522,0,14,112,1,model.layers.2.self_attn.compressor.state_cache
3610007358648435,3610007358806536,3610007358807626,3610007358808376,3610007358888707,3610007358899537,3610007358968877,3610007358970617,3610007358976358,0,14,112,1,model.layers.2.self_attn.indexer.compressor.state_cache
3610007359700763,3610007359839514,3610007359840534,3610007359841254,3610007359924994,3610007359936204,3610007360024865,3610007360026765,3610007360032945,0,14,112,1,model.layers.3.self_attn.compressor.state_cache
3610007728985030,3610007729532584,3610007729604535,3610007729893197,3610007729994697,3610007730009367,3610007730275429,3610007815924722,3610007815940842,1,14,112,4,model.layers.2.self_attn.indexer.k_cache
3610007817947636,3610007818625941,3610007818722551,3610007819083554,3610007819217985,3610007819237065,3610007819592437,3610007820359233,3610007820369293,1,14,112,4,model.layers.2.self_attn.attn
3610007822007534,3610007822643489,3610007822735879,3610007823064742,3610007823188013,3610007823205243,3610007823515865,3610007823519615,3610007823526935,1,14,112,128,model.layers.3.self_attn.attn
3610007825111766,3610007825715720,3610007825795751,3610007826035073,3610007826131793,3610007826143593,3610007826382925,3610007826385605,3610007826391265,1,14,112,1,model.layers.0.self_attn.swa_cache
3610007827599934,3610007828077677,3610007828150848,3610007828420179,3610007828519350,3610007828530740,3610007828768442,3610007828771162,3610007828776982,1,14,112,1,model.layers.1.self_attn.swa_cache
3610007829956920,3610007830418363,3610007830489484,3610007830726776,3610007830819416,3610007830831456,3610007831065068,3610007831067728,3610007831073478,1,14,112,1,model.layers.2.self_attn.compressor.state_cache
3610007832154216,3610007832615069,3610007832688049,3610007832921141,3610007833014842,3610007833026622,3610007833279134,3610007833281894,3610007833288094,1,14,112,1,model.layers.2.self_attn.indexer.compressor.state_cache
