Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnGroupedMatmulWeightNz,81.92,4,20.48,14.96,34.94,70.177
host,acl,aclrtGetDeviceCount,5.11,1,5.11,5.11,5.11,0
host,acl,aclrtGetHardwareSyncAddr,4.34,4,1.085,0.77,1.64,0.11
host,acl,aclrtGetStreamAttribute,3.35,4,0.838,0.65,1.27,0.064
host,acl,aclrtLaunchKernelWithHostArgs,43.74,4,10.935,6.32,22.59,45.75
host,acl,aclrtSynchronizeDeviceWithTimeout,2244.01,1,2244.01,2244.01,2244.01,0
host,node,launch,57.36,4,14.34,9.61,26.78,52.086
