Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
npu::npu_grouped_matmul,,,96.07,133.27,0,796.736,0,0
empty_tensor,,,17.05,17.05,0,0,0,0
npu::get_npu_format,,,6.13,6.13,0,0,0,0
aclnnGroupedMatmulWeightNz,,,14.02,14.02,796.736,796.736,0,0
npu::npu_grouped_matmul,,,41.26,70.55,0,793.496,0,0
empty_tensor,,,12.72,12.72,0,0,0,0
npu::get_npu_format,,,3.05,3.05,0,0,0,0
aclnnGroupedMatmulWeightNz,,,13.52,13.52,793.496,793.496,0,0
npu::npu_grouped_matmul,,,40.66,83.92,0,798.856,0,0
empty_tensor,,,13.94,13.94,0,0,0,0
npu::get_npu_format,,,3.17,3.17,0,0,0,0
aclnnGroupedMatmulWeightNz,,,26.15,26.15,798.856,798.856,0,0
npu::npu_grouped_matmul,,,38.7,65.96,0,792.896,0,0
empty_tensor,,,12.24,12.24,0,0,0,0
npu::get_npu_format,,,3.07,3.07,0,0,0,0
aclnnGroupedMatmulWeightNz,,,11.95,11.95,792.896,792.896,0,0
