Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_36039236866,MIX_AIC,47,15,794.136,1790306246041329.772	,1790306246042123.908	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_36039236866,MIX_AIC,47,16,796.736,1790306246042269.091	,1790306246043065.827	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_36039236866,MIX_AIC,47,17,793.496,1790306246043068.647	,1790306246043862.143	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_36039236866,MIX_AIC,47,18,798.856,1790306246043865.223	,1790306246044664.079	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_36039236866,MIX_AIC,47,19,792.896,1790306246044667.199	,1790306246045460.095	
0,N/A,PROFILING_DISABLE,48,4,0.020,1790306246050465.415	,1790306246050465.435	
