Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_read_main_memory_datas(KB),aic_write_main_memory_datas(KB),aic_GM_to_L1_datas(KB),aic_L0C_to_L1_datas(KB),aic_L0C_to_GM_datas(KB),aic_GM_to_UB_datas(KB),aic_UB_to_GM_datas(KB),aiv_time(us),aiv_total_cycles,aiv_read_main_memory_datas(KB),aiv_write_main_memory_datas(KB),aiv_GM_to_L1_datas(KB),aiv_L0C_to_L1_datas(KB),aiv_L0C_to_GM_datas(KB),aiv_GM_to_UB_datas(KB),aiv_UB_to_GM_datas(KB)
1,0,4294967295,24,47,aclnnGroupedMatmulWeightNz_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1790306436010029.456	,67.241,0,20,40,NO,"""576,2048;32,2048,4096;32,4096;32,1,4096;;;;32;576""",INT8;DT_INT4;FLOAT;UINT64;FLOAT;FLOAT16;FLOAT16;INT64;FLOAT,ND;FRACTAL_NZ;ND;NCL;ND;ND;ND;ND;ND,"""576,4096""",DT_BF16,ND,0,64.225,2312112,63897.5,1627.5,63712.0,0.0,1088.0,0.0,0.0,64.85,4669212,2164.75,640.0,0.0,0.0,0.0,1605.0,600.0
2,0,4294967295,25,47,aclnnGroupedMatmulWeightNz_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1790306436010319.442	,68.801,222.759000,20,40,NO,"""576,2048;32,2048,4096;32,4096;32,1,4096;;;;32;576""",INT8;DT_INT4;FLOAT;UINT64;FLOAT;FLOAT16;FLOAT16;INT64;FLOAT,ND;FRACTAL_NZ;ND;NCL;ND;ND;ND;ND;ND,"""576,4096""",DT_BF16,ND,0,65.609,2361938,63897.5,1627.5,63712.0,0.0,1088.0,0.0,0.0,66.24,4769311,2193.875,640.0,0.0,0.0,0.0,1605.0,600.0
3,0,4294967295,26,47,aclnnGroupedMatmulWeightNz_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1790306436010560.887	,66.621,172.699000,20,40,NO,"""576,2048;32,2048,4096;32,4096;32,1,4096;;;;32;576""",INT8;DT_INT4;FLOAT;UINT64;FLOAT;FLOAT16;FLOAT16;INT64;FLOAT,ND;FRACTAL_NZ;ND;NCL;ND;ND;ND;ND;ND,"""576,4096""",DT_BF16,ND,0,63.296,2278661,63897.5,1627.5,63712.0,0.0,1088.0,0.0,0.0,63.928,4602786,2146.0,640.0,0.0,0.0,0.0,1605.0,600.0
4,0,4294967295,27,47,aclnnGroupedMatmulWeightNz_GroupedMatmul_GroupedMatmul,GroupedMatmul,dynamic,MIX_AIC,1790306436010819.932	,71.681,192.379000,20,40,NO,"""576,2048;32,2048,4096;32,4096;32,1,4096;;;;32;576""",INT8;DT_INT4;FLOAT;UINT64;FLOAT;FLOAT16;FLOAT16;INT64;FLOAT,ND;FRACTAL_NZ;ND;NCL;ND;ND;ND;ND;ND,"""576,4096""",DT_BF16,ND,0,67.585,2433076,63897.5,1627.5,63712.0,0.0,1088.0,0.0,0.0,68.222,4911976,2234.375,640.0,0.0,0.0,0.0,1605.0,600.0
