Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_69325233410,MIX_AIC,47,24,67.241,1790306436010029.456	,1790306436010096.697	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_69325233410,MIX_AIC,47,25,68.801,1790306436010319.442	,1790306436010388.243	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_69325233410,MIX_AIC,47,26,66.621,1790306436010560.887	,1790306436010627.508	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_69325233410,MIX_AIC,47,27,71.681,1790306436010819.932	,1790306436010891.613	
0,N/A,PROFILING_DISABLE,48,4,0.020,1790306436016593.367	,1790306436016593.387	
