Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
npu::npu_grouped_matmul,,,63.54,95.31,0,67.2415,0,0
empty_tensor,,,12.09,12.09,0,0,0,0
npu::get_npu_format,,,5.75,5.75,0,0,0,0
aclnnGroupedMatmulWeightNz,,,13.93,13.93,67.2415,67.2415,0,0
npu::npu_grouped_matmul,,,34.91,71.27,0,68.801,0,0
empty_tensor,,,9.68,9.68,0,0,0,0
npu::get_npu_format,,,2.82,2.82,0,0,0,0
aclnnGroupedMatmulWeightNz,,,23.86,23.86,68.801,68.801,0,0
npu::npu_grouped_matmul,,,32.52,57.01,0,66.621,0,0
empty_tensor,,,9.2,9.2,0,0,0,0
npu::get_npu_format,,,2.6,2.6,0,0,0,0
aclnnGroupedMatmulWeightNz,,,12.69,12.69,66.621,66.621,0,0
npu::npu_grouped_matmul,,,32.99,57.54,0,71.6815,0,0
empty_tensor,,,9.37,9.37,0,0,0,0
npu::get_npu_format,,,2.6,2.6,0,0,0,0
aclnnGroupedMatmulWeightNz,,,12.58,12.58,71.6815,71.6815,0,0
