Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnGroupedMatmulWeightNz,72.02,4,18.005,12.7,25.18,22.303
host,acl,aclrtGetDeviceCount,3.32,1,3.32,3.32,3.32,0
host,acl,aclrtGetHardwareSyncAddr,3.25,4,0.813,0.65,1.12,0.035
host,acl,aclrtGetStreamAttribute,3.02,4,0.755,0.59,1.01,0.025
host,acl,aclrtLaunchKernelWithHostArgs,39.54,4,9.885,5.73,17.73,21.846
host,acl,aclrtSynchronizeDeviceWithTimeout,24,1,24,24,24,0
host,node,launch,50.83,4,12.708,8.25,20.18,20.908
