Device_id,Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
0,1,67.241,0,0,0,0,67.25,0,0,270.75
0,2,68.801,0,0,0,0,68.75,0,0,192.75
0,3,66.621,0,0,0,0,66.5,0,0,178.5
0,4,71.681,0,0,0,0,71.75,0,0,206.5
