3591536356878522,3591536357653741,3591536365819664,3591536366002436,3591536379827483,3591536380111227,3591536380112637,12,96,0
3591536421727201,3591536422467500,3591536430876816,3591536431050928,3591536444874255,3591536445133998,3591536445135228,12,96,0
3591536486636671,3591536487496701,3591536495995028,3591536496184190,3591536510008918,3591536510267291,3591536510268681,12,96,0
3591536551717234,3591536552482742,3591536561355173,3591536561530035,3591536575344763,3591536575600866,3591536575602146,12,96,0
3591536617019868,3591536617762627,3591536626324234,3591536626498736,3591536640295314,3591536640551027,3591536640552437,12,96,0
3591536682267102,3591536682988090,3591536691068682,3591536691244844,3591536705186493,3591536705449316,3591536705450736,12,96,0
3591536747052690,3591536747859309,3591536756806701,3591536756982353,3591536770915172,3591536771178805,3591536771180055,12,96,0
3591536815765983,3591536816581792,3591536821966774,3591536822139916,3591536836090705,3591536836356898,3591536836358568,12,96,0
3591536878454407,3591536880311148,3591536887574521,3591536887776703,3591536901524140,3591536901888334,3591536901890164,11,88,0
3591537022614440,3591537024819385,3591537029944213,3591537030132775,3591537040142379,3591537040576994,3591537040578824,10,80,0
3591537114432456,3591537116021454,3591537160073016,3591537160275878,3591537173495709,3591537174056775,3591537174059185,9,72,0
3591537283426521,3591537287518838,3591537292682867,3591537292851359,3591537301751990,3591537302200955,3591537302203035,10,4251,1
3591537677551602,3591537679320392,3591537713163817,3591537713354349,3591537765572894,3591537765895697,3591537765897627,9,72,0
3591537816055128,3591537823489383,3591537828561441,3591537828730183,3591537837137998,3591537837406581,3591537837408431,11,8096,1
3591538210383377,3591538222874819,3591538351646115,3591538351840517,3591538360536516,3591538360979402,3591538360981182,10,4577,1
3591538732275198,3591538741102648,3591538746242236,3591538746417598,3591538755371900,3591538755815475,3591538755817385,9,4243,1
3591539138374207,3591539146667011,3591539199728534,3591539199921587,3591539207948928,3591539208232241,3591539208233881,11,8096,1
3591539577617403,3591539583476529,3591539738643953,3591539738828155,3591539747746787,3591539748222692,3591539748224552,10,406,1
3591540139903853,3591540151920950,3591540156980738,3591540157159570,3591540165280072,3591540165560875,3591540165562355,11,8096,1
3591540538539244,3591540542809802,3591540668710513,3591540668892595,3591540678000259,3591540678474964,3591540678476824,12,4593,1
3591541064328905,3591541065135944,3591541069670926,3591541069887938,3591541118213287,3591541118492860,3591541118494680,12,96,0
3591541160531658,3591541161341697,3591541175410877,3591541175600279,3591541189233264,3591541189507107,3591541189508907,12,96,0
3591541231052328,3591541231999139,3591541240763929,3591541240948331,3591541254387443,3591541254654316,3591541254656006,11,88,0
3591541296544912,3591541298379603,3591541304953087,3591541305140970,3591541318592902,3591541318872876,3591541318875296,11,88,0
3591541360923313,3591541361540600,3591541368610090,3591541368794462,3591541382721481,3591541383056364,3591541383058344,11,88,0
3591541426069333,3591541426711240,3591541432327414,3591541432508906,3591541446992970,3591541447327534,3591541447329374,11,88,0
3591541490105070,3591541491001580,3591541495453921,3591541495628923,3591541510571012,3591541510861866,3591541510863616,11,88,0
3591541553177556,3591541553911334,3591541558934371,3591541559113843,3591541572519136,3591541572781589,3591541572783399,11,88,0
3591541617136262,3591541625316005,3591541630425683,3591541630603515,3591541639800250,3591541640283635,3591541640285895,11,4259,1
3591542024093590,3591542024906599,3591542038997469,3591542039193941,3591542095232147,3591542095505410,3591542095506970,11,88,0
3591542139842763,3591542144127662,3591542149023627,3591542149192579,3591542158305132,3591542158785238,3591542158786988,12,4267,1
