Step Id,Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num
0,0,aclnnMuls_Muls_Muls,N/A,N/A,1790315215849919.221	,0.900,53.170000,1
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215849976.762	,6.501,56.600000,5
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215850039.784	,0.920,56.499000,1
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215850096.165	,1.200,55.580000,1
0,0,VllmQuantLightningIndexer,N/A,N/A,1790315215850272.328	,77.882,174.800000,20
0,0,Compressor,N/A,N/A,1790315215850487.433	,57.121,137.368000,20
0,0,aclnnScatterNdUpdateSk_ScatterNdUpdateSkAiCore_ScatterNdUpdateSk,N/A,N/A,1790315215850569.574	,18.881,24.879000,40
0,0,SparseAttnSharedkv,N/A,N/A,1790315215850717.557	,42.581,129.119000,20
0,0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1790315215850834.300	,0.980,74.169000,1
0,0,InplacePartialRotaryMul,N/A,N/A,1790315215850912.981	,5.200,77.770000,11
0,0,aclnnInplaceCopy_TransposeAiCore_Transpose,N/A,N/A,1790315215850986.023	,12.840,67.800000,40
0,0,hcom_alltoall__503_74_1,N/A,COMMUNICATION,1790315215851173.206	,12.861,174.410000,0
0,0,AivKernel,N/A,N/A,1790315215851173.206	,12.861,0.000000,8
0,0,aclnnTransposeBatchMatMul_TransposeBatchMatMul_TransposeBatchMatMul,N/A,N/A,1790315215851326.509	,33.421,140.389000,20
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215851562.434	,15.760,202.579000,20
0,0,hcom_reduceScatter__503_75_1,N/A,COMMUNICATION,1790315215851781.799	,13.220,203.490000,0
0,0,AivKernel,N/A,N/A,1790315215851781.799	,13.220,0.000000,8
0,0,HcPost,N/A,N/A,1790315215852117.805	,7.560,322.780000,11
0,0,HcPre,N/A,N/A,1790315215852236.728	,32.600,111.440000,20
0,0,RmsNorm,N/A,N/A,1790315215852310.329	,5.980,40.900000,11
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215852452.352	,5.960,136.020000,40
0,0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1790315215852696.017	,11.600,237.790000,16
0,0,hcom_allGather__503_76_1,N/A,COMMUNICATION,1790315215853125.225	,10.301,417.650000,0
0,0,AivKernel,N/A,N/A,1790315215853125.225	,10.301,0.000000,8
0,0,AivKernel,N/A,N/A,1790315215853426.931	,5.281,291.449000,8
0,0,hcom_allGather__503_77_1,N/A,COMMUNICATION,1790315215853426.931	,5.281,0.000000,0
0,0,MoeGatingTopKHash,N/A,N/A,1790315215853688.637	,12.140,256.469000,30
0,0,aclnnInplaceCopy_CastAiCore_Cast,N/A,N/A,1790315215853748.778	,0.920,47.860000,1
0,0,aclnnIndex_IndexCheck_IndexCheck,N/A,N/A,1790315215854119.385	,11.760,369.830000,40
0,0,aclnnIndex_IndexAiCore_Index,N/A,N/A,1790315215854131.185	,7.901,0.000000,40
0,0,aclnnNeScalar_NotEqualAiCore_NotEqual,N/A,N/A,1790315215854161.506	,1.360,22.349000,1
0,0,aclnnMul_CastAiCore_Cast,N/A,N/A,1790315215854194.527	,1.020,31.640000,1
0,0,aclnnMul_MulAiCore_Mul,N/A,N/A,1790315215854197.307	,1.280,1.730000,1
0,0,aclnnMoeInitRoutingV3_MoeInitRoutingV3_MoeInitRoutingV3,N/A,N/A,1790315215854287.749	,30.420,89.220000,40
0,0,aclnnGroupedMatmulSwigluQuantWeightNzV2_GroupedMatmulSwigluQuantV2_GroupedMatmulSwigluQuantV2,N/A,N/A,1790315215854667.556	,111.822,349.330000,20
0,0,aclnnGroupedMatmulWeightNz_GroupedMatmul_GroupedMatmul,N/A,N/A,1790315215854986.963	,63.601,207.678000,20
0,0,aclnnAbs_AbsAiCore_Abs,N/A,N/A,1790315215855217.727	,1.140,167.149000,1
0,0,MoeTokenUnpermute,N/A,N/A,1790315215855317.949	,13.140,99.110000,40
0,0,hcom_reduceScatter__503_78_1,N/A,COMMUNICATION,1790315215855642.376	,11.980,311.360000,0
0,0,AivKernel,N/A,N/A,1790315215855642.376	,11.980,0.000000,8
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215856035.804	,4.120,381.270000,3
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215856285.429	,19.440,245.630000,19
0,0,DequantSwigluQuant,N/A,N/A,1790315215856561.814	,5.280,256.810000,6
0,0,aclnnQuantMatmulWeightNz_QuantBatchMatmulV3_QuantBatchMatmulV3,N/A,N/A,1790315215856811.939	,17.340,244.970000,16
0,0,aclnnAdd_AddAiCore_Add,N/A,N/A,1790315215857198.387	,7.540,369.160000,40
0,0,HcPost,N/A,N/A,1790315215857382.010	,7.361,175.960000,11
0,0,HcPre,N/A,N/A,1790315215857500.873	,40.701,111.389000,20
0,0,RmsNorm,N/A,N/A,1790315215857584.794	,4.821,43.299000,11
0,0,AivKernel,N/A,N/A,1790315215858042.724	,10.740,453.179000,8
0,0,hcom_allGather__503_79_1,N/A,COMMUNICATION,1790315215858042.724	,10.740,0.000000,0
0,0,aclnnDynamicQuantV2_DynamicQuant_DynamicQuant,N/A,N/A,1790315215858112.245	,4.240,58.760000,3
