Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,ScatterNdUpdateSk_3b70bd1dfff14ea76aa6465d526da019_11,KERNEL_MIX_AIV,47,29752,25.880,1790315215723812.402	,1790315215723838.282	
0,SparseAttnSharedkv_7d53da980fa2b93856b96304fde51fcc_2,KERNEL_MIX_AIC,47,29753,23.740,1790315215724092.027	,1790315215724115.768	
0,Neg_5c5e58e043224cccf51a06108010ae13_high_performance_210000000,KERNEL_AIVEC,47,29754,1.000,1790315215724211.110	,1790315215724212.110	
0,InplacePartialRotaryMul_ec081ae2fec8ce00af9a8192bd55ef8c_11,KERNEL_AIVEC,47,29755,5.220,1790315215724294.631	,1790315215724299.851	
0,Transpose_be837fe498fad076d01c0ce8dfd3d014_high_performance_1,KERNEL_AIVEC,47,29756,12.200,1790315215724401.734	,1790315215724413.934	
0,N/A,EVENT_RECORD,47,29757,0.220,1790315215724530.556	,1790315215724530.776	
0,N/A,EVENT_WAIT,38,2883,0.020,1790315215724534.056	,1790315215724534.076	
0,aiv_all_to_all_bfloat16_t,KERNEL_AIVEC,38,2884,13.140,1790315215724624.838	,1790315215724637.978	
0,N/A,EVENT_RECORD,38,2885,0.200,1790315215724694.199	,1790315215724694.399	
0,N/A,EVENT_RECORD,38,2886,0.020,1790315215724696.159	,1790315215724696.179	
0,N/A,EVENT_WAIT,47,29758,0.020,1790315215724723.540	,1790315215724723.560	
0,TransposeBatchMatMul_ND_ND_ND_ND_ND_BF16_BF16_BF16_INT64_BF16_high_performance_32,KERNEL_AICORE,47,29759,33.181,1790315215724824.862	,1790315215724858.043	
0,MatMulV2_ND_ND_FP16_FP16_false_true_all_98498,KERNEL_AICORE,47,29760,16.080,1790315215726276.471	,1790315215726292.551	
0,N/A,EVENT_WAIT,38,2887,3.780,1790315215726479.235	,1790315215726483.015	
0,N/A,EVENT_RECORD,47,29761,0.020,1790315215726482.535	,1790315215726482.555	
0,aiv_reduce_scatter_bfloat16_t,KERNEL_AIVEC,38,2888,12.940,1790315215726540.836	,1790315215726553.776	
0,N/A,EVENT_RECORD,38,2889,0.200,1790315215726596.817	,1790315215726597.017	
0,N/A,EVENT_RECORD,38,2890,0.020,1790315215726599.777	,1790315215726599.797	
0,N/A,EVENT_WAIT,47,29762,0.000,1790315215726603.477	,1790315215726603.477	
0,N/A,MEMCPY_ASYNC,47,29763,0.720,1790315215726739.940	,1790315215726740.660	
0,HcPost_d2fe6614722b27afa6f8d964c215447e_0,KERNEL_AIVEC,47,29764,8.760,1790315215726987.005	,1790315215726995.765	
0,HcPre_c12a9d608e5abdbd1728e849208025ff_0,KERNEL_MIX_AIC,47,29765,32.860,1790315215727138.288	,1790315215727171.149	
0,RmsNorm_normal_all_bf16_high_performance_0,KERNEL_AIVEC,47,29766,4.780,1790315215727208.890	,1790315215727213.670	
0,Cast_b2717900ea7de2d41ea9c63d23aa269b_high_performance_210000000,KERNEL_AIVEC,47,29767,6.340,1790315215727405.174	,1790315215727411.514	
0,N/A,EVENT_RECORD,47,29768,0.020,1790315215727580.857	,1790315215727580.877	
0,MatMulV2_ND_ND_FP32_FP32_false_true_all_65665,KERNEL_AICORE,47,29769,11.300,1790315215727804.861	,1790315215727816.162	
0,N/A,EVENT_RECORD,47,29770,0.020,1790315215727920.644	,1790315215727920.664	
0,N/A,EVENT_RECORD,47,29771,0.220,1790315215728197.849	,1790315215728198.069	
0,N/A,EVENT_WAIT,38,2891,0.020,1790315215728207.370	,1790315215728207.390	
0,aiv_all_gather_bfloat16_t,KERNEL_AIVEC,38,2892,11.000,1790315215728267.931	,1790315215728278.931	
0,N/A,EVENT_RECORD,38,2893,0.000,1790315215728323.572	,1790315215728323.572	
0,N/A,EVENT_RECORD,38,2894,0.020,1790315215728326.432	,1790315215728326.452	
0,N/A,EVENT_WAIT,47,29772,0.000,1790315215728345.212	,1790315215728345.212	
0,N/A,EVENT_WAIT,38,2895,7.000,1790315215728508.436	,1790315215728515.436	
0,N/A,EVENT_RECORD,47,29773,0.020,1790315215728514.776	,1790315215728514.796	
0,aiv_all_gather_float,KERNEL_AIVEC,38,2896,5.680,1790315215728575.337	,1790315215728581.017	
0,N/A,EVENT_RECORD,38,2897,0.020,1790315215728626.558	,1790315215728626.578	
0,N/A,EVENT_RECORD,38,2898,0.240,1790315215728629.698	,1790315215728629.938	
0,N/A,EVENT_WAIT,47,29774,0.000,1790315215728633.178	,1790315215728633.178	
0,Cast_e87590d11ccda8b259ab6b1ea7212319_high_performance_210000000,KERNEL_AIVEC,47,29775,1.040,1790315215728918.124	,1790315215728919.164	
0,Equal_1ea4da630f56dc1c2d6e7c9a9dd17b11_high_performance_223000000,KERNEL_AIVEC,47,29776,2.140,1790315215729105.187	,1790315215729107.328	
0,Fill_41dadce325b0f810d03359af2a38990b_high_performance_210000000,KERNEL_AIVEC,47,29777,1.140,1790315215729170.769	,1790315215729171.909	
0,SelectV2_a32d70ed63082227463347a44bd5a08e_high_performance_220000000,KERNEL_AIVEC,47,29778,2.720,1790315215729238.930	,1790315215729241.650	
0,MoeGatingTopKHash_c9fe881608378d9bec1f72b77dd57c53_6,KERNEL_AIVEC,47,29779,11.260,1790315215729335.652	,1790315215729346.912	
0,Cast_9f288b80370c6545ffe8cef142d37f5c_high_performance_210000000,KERNEL_AIVEC,47,29780,1.060,1790315215729479.155	,1790315215729480.215	
0,N/A,EVENT_RECORD,47,29781,0.020,1790315215729718.340	,1790315215729718.360	
0,IndexCheck_int32_high_performance_1,KERNEL_AIVEC,47,29782,12.200,1790315215730016.566	,1790315215730028.766	
0,Index_6c4c8a656742ea5f9c9c8714c8a01fe7_high_performance__kernel0,KERNEL_AIVEC,47,29783,11.460,1790315215730094.147	,1790315215730105.607	
0,NotEqual_db689a08d53f9c09c59c06b9caeb956b_high_performance_223000000,KERNEL_AIVEC,47,29784,1.660,1790315215730170.549	,1790315215730172.209	
0,Cast_0be58f254e900269694fed603fa574c1_high_performance_210000000,KERNEL_AIVEC,47,29785,1.560,1790315215730250.990	,1790315215730252.550	
0,Mul_ce3d1ff8ba23a0bcb292da3577c1625d_high_performance_210000000,KERNEL_AIVEC,47,29786,1.380,1790315215730294.671	,1790315215730296.051	
0,MoeInitRoutingV3_e76c326fbdd16c2ff4dda3bbf7b68c80_2310000,KERNEL_MIX_AIV,47,29787,30.980,1790315215730541.676	,1790315215730572.657	
0,GroupedMatmulSwigluQuantV2_fa3d6d3de6e1f32e170e39d2ddd3a20e_2,KERNEL_MIX_AIC,47,29788,161.643,1790315215731045.986	,1790315215731207.629	
0,N/A,EVENT_RECORD,47,29789,0.000,1790315215731208.630	,1790315215731208.630	
0,GroupedMatmul_a0be48d01b162435398ed52e1b6182d4_69325233410,KERNEL_MIX_AIC,47,29790,93.162,1790315215731938.404	,1790315215732031.566	
0,N/A,EVENT_RECORD,47,29791,0.020,1790315215732082.047	,1790315215732082.067	
0,Abs_8098b79498645e9c0da095babdeaf862_high_performance_210000000,KERNEL_AIVEC,47,29792,1.220,1790315215732295.191	,1790315215732296.411	
0,MoeTokenUnpermute_6dd49246dc9576d3314234df69cb5c22_1,KERNEL_AIVEC,47,29793,12.180,1790315215732398.893	,1790315215732411.074	
0,N/A,EVENT_RECORD,47,29794,0.020,1790315215732670.519	,1790315215732670.539	
0,N/A,EVENT_WAIT,38,2899,0.020,1790315215732675.079	,1790315215732675.099	
0,aiv_reduce_scatter_bfloat16_t,KERNEL_AIVEC,38,2900,11.900,1790315215732756.300	,1790315215732768.201	
0,N/A,EVENT_RECORD,38,2901,0.220,1790315215732802.921	,1790315215732803.141	
0,N/A,EVENT_RECORD,38,2902,0.220,1790315215732810.682	,1790315215732810.902	
0,N/A,EVENT_WAIT,47,29795,0.020,1790315215732839.762	,1790315215732839.782	
0,DynamicQuant_bf16_1_high_performance_100,KERNEL_AIVEC,36,55554,3.940,1790315215733169.009	,1790315215733172.949	
0,QuantBatchMatmulV3_ND_NZ_int8_int8_bf16_int32_high_performance_4,KERNEL_AICORE,36,55555,21.640,1790315215733435.994	,1790315215733457.634	
0,N/A,EVENT_WAIT,36,55556,0.200,1790315215733527.616	,1790315215733527.816	
0,DequantSwigluQuant_5aec45b26e36306ef5a8aab7ae151294_200000000,KERNEL_AIVEC,36,55557,5.880,1790315215733723.620	,1790315215733729.500	
0,N/A,EVENT_WAIT,36,55558,0.020,1790315215733819.022	,1790315215733819.042	
