Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_read_main_memory_datas(KB),aic_write_main_memory_datas(KB),aic_GM_to_L1_datas(KB),aic_L0C_to_L1_datas(KB),aic_L0C_to_GM_datas(KB),aic_GM_to_UB_datas(KB),aic_UB_to_GM_datas(KB),aiv_time(us),aiv_total_cycles,aiv_read_main_memory_datas(KB),aiv_write_main_memory_datas(KB),aiv_GM_to_L1_datas(KB),aiv_L0C_to_L1_datas(KB),aiv_L0C_to_GM_datas(KB),aiv_GM_to_UB_datas(KB),aiv_UB_to_GM_datas(KB)
1,0,4294967295,17,47,aclnnGroupedMatmulSwigluQuantWeightNzV2_GroupedMatmulSwigluQuantV2_GroupedMatmulSwigluQuantV2,GroupedMatmulSwigluQuantV2,dynamic,MIX_AIC,1790306117004221.578	,118.762,0,20,40,NO,"""576,4096;576;32;32,64,256,16,64;32,4096;32,4096""",INT8;FLOAT;INT64;DT_INT4;UINT64;FLOAT,ND;ND;ND;FRACTAL_NZ;ND;ND,"""576,2048;576""",INT8;FLOAT,ND;ND,0,104.351,3756621,127267.5,1622.5,129568.0,0.0,1088.0,0.0,0.0,114.832,8267878,2412.375,390.0,0.0,0.0,0.0,1940.0,365.0
2,0,4294967295,18,47,aclnnGroupedMatmulSwigluQuantWeightNzV2_GroupedMatmulSwigluQuantV2_GroupedMatmulSwigluQuantV2,GroupedMatmulSwigluQuantV2,dynamic,MIX_AIC,1790306117004706.427	,118.723,366.238000,20,40,NO,"""576,4096;576;32;32,64,256,16,64;32,4096;32,4096""",INT8;FLOAT;INT64;DT_INT4;UINT64;FLOAT,ND;ND;ND;FRACTAL_NZ;ND;ND,"""576,2048;576""",INT8;FLOAT,ND;ND,0,104.35,3756592,127267.5,1622.5,129568.0,0.0,1088.0,0.0,0.0,114.766,8263177,2415.0,390.0,0.0,0.0,0.0,1940.0,365.0
3,0,4294967295,19,47,aclnnGroupedMatmulSwigluQuantWeightNzV2_GroupedMatmulSwigluQuantV2_GroupedMatmulSwigluQuantV2,GroupedMatmulSwigluQuantV2,dynamic,MIX_AIC,1790306117005175.537	,118.242,350.277000,20,40,NO,"""576,4096;576;32;32,64,256,16,64;32,4096;32,4096""",INT8;FLOAT;INT64;DT_INT4;UINT64;FLOAT,ND;ND;ND;FRACTAL_NZ;ND;ND,"""576,2048;576""",INT8;FLOAT,ND;ND,0,104.045,3745631,127267.5,1622.5,129568.0,0.0,1088.0,0.0,0.0,114.309,8230277,2412.75,390.0,0.0,0.0,0.0,1940.0,365.0
4,0,4294967295,20,47,aclnnGroupedMatmulSwigluQuantWeightNzV2_GroupedMatmulSwigluQuantV2_GroupedMatmulSwigluQuantV2,GroupedMatmulSwigluQuantV2,dynamic,MIX_AIC,1790306117005629.946	,121.402,336.258000,20,40,NO,"""576,4096;576;32;32,64,256,16,64;32,4096;32,4096""",INT8;FLOAT;INT64;DT_INT4;UINT64;FLOAT,ND;ND;ND;FRACTAL_NZ;ND;ND,"""576,2048;576""",INT8;FLOAT,ND;ND,0,106.806,3845019,127267.5,1622.5,129568.0,0.0,1088.0,0.0,0.0,117.466,8457554,2473.375,390.0,0.0,0.0,0.0,1940.0,365.0
