3613655697498427,3613655698701114,3613655698827858,3613655699218041,12,8,32932
3613655761524837,3613655764680998,3613655764816262,3613655765217204,12,8,32937
3613655829403008,3613655830075718,3613655830205922,3613655830597555,12,8,32943
3613655893325963,3613655895365773,3613655895492187,3613655895890900,12,8,32951
3613655958385358,3613655960045335,3613655960184628,3613655960583291,12,8,32954
3613656022968224,3613656024502956,3613656024629180,3613656025024443,12,8,32955
3613656086938687,3613656089647147,3613656089781361,3613656090180034,12,8,32957
3613656154338098,3613656154491942,3613656154622576,3613656155008879,12,8,32961
3613656215929997,3613656218107330,3613656218237475,3613656218622498,12,8,32962
3613656280997231,3613656282512984,3613656282633679,3613656283022012,12,8,32963
3613656344736264,3613656346513936,3613656346637110,3613656347020473,12,8,32965
3613656411604229,3613656411915916,3613656412159755,3613656412557837,11,8,32970
3613656563787664,3613656563952537,3613656564085181,3613656564476384,11,8,32972
3613656628738954,3613656629036521,3613656629254731,3613656629642174,9,8,32953
3613656775310557,3613656775478600,3613656775592745,3613656775978488,9,8,32958
3613656840313500,3613656841691880,3613656841916020,3613656842327822,8,8,32960
3613657432812162,3613657433501012,3613657433735202,3613657434133044,6,6,32958
3613660780945598,3613660802625260,3613660802948186,3613660803959331,11,8,32867
3613660870917574,3613660873842956,3613660873969640,3613660874491957,11,8,32868
3613661371632129,3613661371832680,3613661371959535,3613661372375457,11,8,32871
3613661857250453,3613661866630673,3613661866796536,3613661867305744,12,8,32867
3613661933587052,3613661936788492,3613661936918707,3613661937312079,12,8,32868
3613662000621447,3613662001323446,3613662001446711,3613662001835584,12,8,32869
3613662062535695,3613662063493614,3613662063621718,3613662064030590,12,8,32873
3613662125370474,3613662125877342,3613662126010936,3613662126322742,12,8,32874
3613662192732114,3613662195940924,3613662196082678,3613662196399314,12,8,32876
3613662259331818,3613662259498111,3613662259624076,3613662259934142,12,8,32880
3613662320496520,3613662322930043,3613662323064598,3613662323459760,12,8,32883
3613662385985972,3613662386172764,3613662386300378,3613662386615355,12,8,32886
3613662446984520,3613662448157859,3613662448287784,3613662448600990,12,8,32888
3613662510238550,3613662512422605,3613662512551229,3613662512944172,12,8,32892
3613662575830488,3613662579041218,3613662579172223,3613662579697240,12,8,32894
3613662643118282,3613662644057241,3613662644194535,3613662644604907,12,8,32897
